Modern,Full date
01 Jan,KAL. IAN.
02 Jan,A.D. IV NON. IAN.
03 Jan,A.D. III NON. IAN.
04 Jan,PRID. NON. IAN.
05 Jan,NON. IAN.
06 Jan,A.D. VIII ID. IAN.
07 Jan,A.D. VII ID. IAN.
08 Jan,A.D. VI ID. IAN.
09 Jan,A.D. V ID. IAN.
10 Jan,A.D. IV ID. IAN.
11 Jan,A.D. III ID. IAN.
12 Jan,PRID. ID. IAN.
13 Jan,ID. IAN.
14 Jan,A.D. XIX KAL. FEB.
15 Jan,A.D. XVIII KAL. FEB.
16 Jan,A.D. XVII KAL. FEB.
17 Jan,A.D. XVI KAL. FEB.
18 Jan,A.D. XV KAL. FEB.
19 Jan,A.D. XIV KAL. FEB.
20 Jan,A.D. XIII KAL. FEB.
21 Jan,A.D. XII KAL. FEB.
22 Jan,A.D. XI KAL. FEB.
23 Jan,A.D. X KAL. FEB.
24 Jan,A.D. IX KAL. FEB.
25 Jan,A.D. VIII KAL. FEB.
26 Jan,A.D. VII KAL. FEB.
27 Jan,A.D. VI KAL. FEB.
28 Jan,A.D. V KAL. FEB.
29 Jan,A.D. IV KAL. FEB.
30 Jan,A.D. III KAL. FEB.
31 Jan,PRID. KAL. FEB.
01 Feb,KAL. FEB.
02 Feb,A.D. IV NON. FEB.
03 Feb,A.D. III NON. FEB.
04 Feb,PRID. NON. FEB.
05 Feb,NON. FEB.
06 Feb,A.D. VIII ID. FEB.
07 Feb,A.D. VII ID. FEB.
08 Feb,A.D. VI ID. FEB.
09 Feb,A.D. V ID. FEB.
10 Feb,A.D. IV ID. FEB.
11 Feb,A.D. III ID. FEB.
12 Feb,PRID. ID. FEB.
13 Feb,ID. FEB.
14 Feb,A.D. XVI KAL. MART.
15 Feb,A.D. XV KAL. MART.
16 Feb,A.D. XIV KAL. MART.
17 Feb,A.D. XIII KAL. MART.
18 Feb,A.D. XII KAL. MART.
19 Feb,A.D. XI KAL. MART.
20 Feb,A.D. X KAL. MART.
21 Feb,A.D. IX KAL. MART.
22 Feb,A.D. VIII KAL. MART.
23 Feb,A.D. VII KAL. MART.
24 Feb,A.D. VI KAL. MART.
Non-leap year,
25 Feb,A.D. V KAL. MART.
26 Feb,A.D. IV KAL. MART.
27 Feb,A.D. III KAL. MART.
28 Feb,PRID. KAL. MART.
Leap year,
25 Feb,A.D. BIS VI KAL. M.
26 Feb,A.D. V KAL. MART.
27 Feb,A.D. IV KAL. MART.
28 Feb,A.D. III KAL. MART.
29 Feb,PRID. KAL. MART.
01 Mar,KAL. MART.
02 Mar,A.D. VI NON. MART.
03 Mar,A.D. V NON. MART.
04 Mar,A.D. IV NON. MART.
05 Mar,A.D. III NON. MART.
06 Mar,PRID. NON. MART.
07 Mar,NON. MART.
08 Mar,A.D. VIII ID. MART.
09 Mar,A.D. VII ID. MART.
10 Mar,A.D. VI ID. MART.
11 Mar,A.D. V ID. MART.
12 Mar,A.D. IV ID. MART.
13 Mar,A.D. III ID. MART.
14 Mar,PRID. ID. MART.
15 Mar,ID. MART.
16 Mar,A.D. XVII KAL. APR.
17 Mar,A.D. XVI KAL. APR.
18 Mar,A.D. XV KAL. APR.
19 Mar,A.D. XIV KAL. APR.
20 Mar,A.D. XIII KAL. APR.
21 Mar,A.D. XII KAL. APR.
22 Mar,A.D. XI KAL. APR.
23 Mar,A.D. X KAL. APR.
24 Mar,A.D. IX KAL. APR.
25 Mar,A.D. VIII KAL. APR.
26 Mar,A.D. VII KAL. APR.
27 Mar,A.D. VI KAL. APR.
28 Mar,A.D. V KAL. APR.
29 Mar,A.D. IV KAL. APR.
30 Mar,A.D. III KAL. APR.
31 Mar,PRID. KAL. APR.
01 Apr,KAL. APR.
02 Apr,A.D. IV NON. APR.
03 Apr,A.D. III NON. APR.
04 Apr,PRID. NON. APR.
05 Apr,NON. APR.
06 Apr,A.D. VIII ID. APR.
07 Apr,A.D. VII ID. APR.
08 Apr,A.D. VI ID. APR.
09 Apr,A.D. V ID. APR.
10 Apr,A.D. IV ID. APR.
11 Apr,A.D. III ID. APR.
12 Apr,PRID. ID. APR.
13 Apr,ID. APR.
14 Apr,A.D. XVIII KAL. MAI.
15 Apr,A.D. XVII KAL. MAI.
16 Apr,A.D. XVI KAL. MAI.
17 Apr,A.D. XV KAL. MAI.
18 Apr,A.D. XIV KAL. MAI.
19 Apr,A.D. XIII KAL. MAI.
20 Apr,A.D. XII KAL. MAI.
21 Apr,A.D. XI KAL. MAI.
22 Apr,A.D. X KAL. MAI.
23 Apr,A.D. IX KAL. MAI.
24 Apr,A.D. VIII KAL. MAI.
25 Apr,A.D. VII KAL. MAI.
26 Apr,A.D. VI KAL. MAI.
27 Apr,A.D. V KAL. MAI.
28 Apr,A.D. IV KAL. MAI.
29 Apr,A.D. III KAL. MAI.
30 Apr,PRID. KAL. MAI.
01 May,KAL. MAI.
02 May,A.D. VI NON. MAI.
03 May,A.D. V NON. MAI.
04 May,A.D. IV NON. MAI.
05 May,A.D. III NON. MAI.
06 May,PRID. NON. MAI.
07 May,NON. MAI.
08 May,A.D. VIII ID. MAI.
09 May,A.D. VII ID. MAI.
10 May,A.D. VI ID. MAI.
11 May,A.D. V ID. MAI.
12 May,A.D. IV ID. MAI.
13 May,A.D. III ID. MAI.
14 May,PRID. ID. MAI.
15 May,ID. MAI.
16 May,A.D. XVII KAL. IVN.
17 May,A.D. XVI KAL. IVN.
18 May,A.D. XV KAL. IVN.
19 May,A.D. XIV KAL. IVN.
20 May,A.D. XIII KAL. IVN.
21 May,A.D. XII KAL. IVN.
22 May,A.D. XI KAL. IVN.
23 May,A.D. X KAL. IVN.
24 May,A.D. IX KAL. IVN.
25 May,A.D. VIII KAL. IVN.
26 May,A.D. VII KAL. IVN.
27 May,A.D. VI KAL. IVN.
28 May,A.D. V KAL. IVN.
29 May,A.D. IV KAL. IVN.
30 May,A.D. III KAL. IVN.
31 May,PRID. KAL. IVN.
01 Jun,KAL. IVN.
02 Jun,A.D. IV NON. IVN.
03 Jun,A.D. III NON. IVN.
04 Jun,PRID. NON. IVN.
05 Jun,NON. IVN.
06 Jun,A.D. VIII ID. IVN.
07 Jun,A.D. VII ID. IVN.
08 Jun,A.D. VI ID. IVN.
09 Jun,A.D. V ID. IVN.
10 Jun,A.D. IV ID. IVN.
11 Jun,A.D. III ID. IVN.
12 Jun,PRID. ID. IVN.
13 Jun,ID. IVN.
14 Jun,A.D. XVIII KAL. IVL.
15 Jun,A.D. XVII KAL. IVL.
16 Jun,A.D. XVI KAL. IVL.
17 Jun,A.D. XV KAL. IVL.
18 Jun,A.D. XIV KAL. IVL.
19 Jun,A.D. XIII KAL. IVL.
20 Jun,A.D. XII KAL. IVL.
21 Jun,A.D. XI KAL. IVL.
22 Jun,A.D. X KAL. IVL.
23 Jun,A.D. IX KAL. IVL.
24 Jun,A.D. VIII KAL. IVL.
25 Jun,A.D. VII KAL. IVL.
26 Jun,A.D. VI KAL. IVL.
27 Jun,A.D. V KAL. IVL.
28 Jun,A.D. IV KAL. IVL.
29 Jun,A.D. III KAL. IVL.
30 Jun,PRID. KAL. IVL.
01 Jul,KAL. IVL.
02 Jul,A.D. VI NON. IVL.
03 Jul,A.D. V NON. IVL.
04 Jul,A.D. IV NON. IVL.
05 Jul,A.D. III NON. IVL.
06 Jul,PRID. NON. IVL.
07 Jul,NON. IVL.
08 Jul,A.D. VIII ID. IVL.
09 Jul,A.D. VII ID. IVL.
10 Jul,A.D. VI ID. IVL.
11 Jul,A.D. V ID. IVL.
12 Jul,A.D. IV ID. IVL.
13 Jul,A.D. III ID. IVL.
14 Jul,PRID. ID. IVL.
15 Jul,ID. IVL.
16 Jul,A.D. XVII KAL. AVG.
17 Jul,A.D. XVI KAL. AVG.
18 Jul,A.D. XV KAL. AVG.
19 Jul,A.D. XIV KAL. AVG.
20 Jul,A.D. XIII KAL. AVG.
21 Jul,A.D. XII KAL. AVG.
22 Jul,A.D. XI KAL. AVG.
23 Jul,A.D. X KAL. AVG.
24 Jul,A.D. IX KAL. AVG.
25 Jul,A.D. VIII KAL. AVG.
26 Jul,A.D. VII KAL. AVG.
27 Jul,A.D. VI KAL. AVG.
28 Jul,A.D. V KAL. AVG.
29 Jul,A.D. IV KAL. AVG.
30 Jul,A.D. III KAL. AVG.
31 Jul,PRID. KAL. AVG.
01 Aug,KAL. AVG.
02 Aug,A.D. IV NON. AVG.
03 Aug,A.D. III NON. AVG.
04 Aug,PRID. NON. AVG.
05 Aug,NON. AVG.
06 Aug,A.D. VIII ID. AVG.
07 Aug,A.D. VII ID. AVG.
08 Aug,A.D. VI ID. AVG.
09 Aug,A.D. V ID. AVG.
10 Aug,A.D. IV ID. AVG.
11 Aug,A.D. III ID. AVG.
12 Aug,PRID. ID. AVG.
13 Aug,ID. AVG.
14 Aug,A.D. XIX KAL. SEPT.
15 Aug,A.D. XVIII KAL. SEPT.
16 Aug,A.D. XVII KAL. SEPT.
17 Aug,A.D. XVI KAL. SEPT.
18 Aug,A.D. XV KAL. SEPT.
19 Aug,A.D. XIV KAL. SEPT.
20 Aug,A.D. XIII KAL. SEPT.
21 Aug,A.D. XII KAL. SEPT.
22 Aug,A.D. XI KAL. SEPT.
23 Aug,A.D. X KAL. SEPT.
24 Aug,A.D. IX KAL. SEPT.
25 Aug,A.D. VIII KAL. SEPT.
26 Aug,A.D. VII KAL. SEPT.
27 Aug,A.D. VI KAL. SEPT.
28 Aug,A.D. V KAL. SEPT.
29 Aug,A.D. IV KAL. SEPT.
30 Aug,A.D. III KAL. SEPT.
31 Aug,PRID. KAL. SEPT.
01 Sep,KAL. SEPT.
02 Sep,A.D. IV NON. SEPT.
03 Sep,A.D. III NON. SEPT.
04 Sep,PRID. NON. SEPT.
05 Sep,NON. SEPT.
06 Sep,A.D. VIII ID. SEPT.
07 Sep,A.D. VII ID. SEPT.
08 Sep,A.D. VI ID. SEPT.
09 Sep,A.D. V ID. SEPT.
10 Sep,A.D. IV ID. SEPT.
11 Sep,A.D. III ID. SEPT.
12 Sep,PRID. ID. SEPT.
13 Sep,ID. SEPT.
14 Sep,A.D. XVIII KAL. OCT.
15 Sep,A.D. XVII KAL. OCT.
16 Sep,A.D. XVI KAL. OCT.
17 Sep,A.D. XV KAL. OCT.
18 Sep,A.D. XIV KAL. OCT.
19 Sep,A.D. XIII KAL. OCT.
20 Sep,A.D. XII KAL. OCT.
21 Sep,A.D. XI KAL. OCT.
22 Sep,A.D. X KAL. OCT.
23 Sep,A.D. IX KAL. OCT.
24 Sep,A.D. VIII KAL. OCT.
25 Sep,A.D. VII KAL. OCT.
26 Sep,A.D. VI KAL. OCT.
27 Sep,A.D. V KAL. OCT.
28 Sep,A.D. IV KAL. OCT.
29 Sep,A.D. III KAL. OCT.
30 Sep,PRID. KAL. OCT.
01 Oct,KAL. OCT.
02 Oct,A.D. VI NON. OCT.
03 Oct,A.D. V NON. OCT.
04 Oct,A.D. IV NON. OCT.
05 Oct,A.D. III NON. OCT.
06 Oct,PRID. NON. OCT.
07 Oct,NON. OCT.
08 Oct,A.D. VIII ID. OCT.
09 Oct,A.D. VII ID. OCT.
10 Oct,A.D. VI ID. OCT.
11 Oct,A.D. V ID. OCT.
12 Oct,A.D. IV ID. OCT.
13 Oct,A.D. III ID. OCT.
14 Oct,PRID. ID. OCT.
15 Oct,ID. OCT.
16 Oct,A.D. XVII KAL. NOV.
17 Oct,A.D. XVI KAL. NOV.
18 Oct,A.D. XV KAL. NOV.
19 Oct,A.D. XIV KAL. NOV.
20 Oct,A.D. XIII KAL. NOV.
21 Oct,A.D. XII KAL. NOV.
22 Oct,A.D. XI KAL. NOV.
23 Oct,A.D. X KAL. NOV.
24 Oct,A.D. IX KAL. NOV.
25 Oct,A.D. VIII KAL. NOV.
26 Oct,A.D. VII KAL. NOV.
27 Oct,A.D. VI KAL. NOV.
28 Oct,A.D. V KAL. NOV.
29 Oct,A.D. IV KAL. NOV.
30 Oct,A.D. III KAL. NOV.
31 Oct,PRID. KAL. NOV.
01 Nov,KAL. NOV.
02 Nov,A.D. IV NON. NOV.
03 Nov,A.D. III NON. NOV.
04 Nov,PRID. NON. NOV.
05 Nov,NON. NOV.
06 Nov,A.D. VIII ID. NOV.
07 Nov,A.D. VII ID. NOV.
08 Nov,A.D. VI ID. NOV.
09 Nov,A.D. V ID. NOV.
10 Nov,A.D. IV ID. NOV.
11 Nov,A.D. III ID. NOV.
12 Nov,PRID. ID. NOV.
13 Nov,ID. NOV.
14 Nov,A.D. XVIII KAL. DEC.
15 Nov,A.D. XVII KAL. DEC.
16 Nov,A.D. XVI KAL. DEC.
17 Nov,A.D. XV KAL. DEC.
18 Nov,A.D. XIV KAL. DEC.
19 Nov,A.D. XIII KAL. DEC.
20 Nov,A.D. XII KAL. DEC.
21 Nov,A.D. XI KAL. DEC.
22 Nov,A.D. X KAL. DEC.
23 Nov,A.D. IX KAL. DEC.
24 Nov,A.D. VIII KAL. DEC.
25 Nov,A.D. VII KAL. DEC.
26 Nov,A.D. VI KAL. DEC.
27 Nov,A.D. V KAL. DEC.
28 Nov,A.D. IV KAL. DEC.
29 Nov,A.D. III KAL. DEC.
30 Nov,PRID. KAL. DEC.
01 Dec,KAL. DEC.
02 Dec,A.D. IV NON. DEC.
03 Dec,A.D. III NON. DEC.
04 Dec,PRID. NON. DEC.
05 Dec,NON. DEC.
06 Dec,A.D. VIII ID. DEC.
07 Dec,A.D. VII ID. DEC.
08 Dec,A.D. VI ID. DEC.
09 Dec,A.D. V ID. DEC.
10 Dec,A.D. IV ID. DEC.
11 Dec,A.D. III ID. DEC.
12 Dec,PRID. ID. DEC.
13 Dec,ID. DEC.
14 Dec,A.D. XIX KAL. IAN.
15 Dec,A.D. XVIII KAL. IAN.
16 Dec,A.D. XVII KAL. IAN.
17 Dec,A.D. XVI KAL. IAN.
18 Dec,A.D. XV KAL. IAN.
19 Dec,A.D. XIV KAL. IAN.
20 Dec,A.D. XIII KAL. IAN.
21 Dec,A.D. XII KAL. IAN.
22 Dec,A.D. XI KAL. IAN.
23 Dec,A.D. X KAL. IAN.
24 Dec,A.D. IX KAL. IAN.
25 Dec,A.D. VIII KAL. IAN.
26 Dec,A.D. VII KAL. IAN.
27 Dec,A.D. VI KAL. IAN.
28 Dec,A.D. V KAL. IAN.
29 Dec,A.D. IV KAL. IAN.
30 Dec,A.D. III KAL. IAN.
31 Dec,PRID. KAL. IAN.
